Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
ENG BE 991,PhD Dissertation,BE PhD program,Participation in a research project under the direction of a faculty advisor leading to the preparation and defense of an original PhD dissertation.,,,,,,,,,,,,,,,,,,,
ENG EC 311,Introduction to Logic Design,Sophomore standing.,"Introduction to hardware building blocks used in digital computers. Boolean algebra, combinatorial and sequential circuits: analysis and design. Adders, multipliers, decoders, encoders, multiplexors. Programmable logic devices: read- only memory, programmable arrays, Verilog. Counters and registers. Includes lab.",,,,,,,,,,,,,,,,,,,
ENG EC 327,Introduction to Software Engineering,(ENGEK 125),"This course aims to introduce students to software design, programming techniques, data structures, and software engineering principles. The course is structured bottom up, beginning with basic hardware followed by an understanding of machine language that controls the hardware and the assembly language that organizes that control. It then proceeds through fundamental elements of functional programming languages, using C as the case example, and continues with the principles of object-oriented programming, as principally embodied in C++ but also its daughter languages Java, C#, and objective C. The course will conclude with an introduction to elementary data structures and algorithmic analysis. Throughout, the course develops core competencies in software engineering, including programming style, optimization, debugging, compilation, and program management, utilizing a variety of Integrated Development Environments and operating systems.",,,,,,,,,,,,,,,,,,,
ENG EC 330,Applied Algorithms for Engineers,(ENGEC327) Recommended: CAS MA 193,"Introduction to the general concept of algorithms. Efficiency and run-time of algorithms. Graph algorithms, priority queues, search trees. Various approaches to design of algorithms and data structures, together with their applications to numerical and non-numerical problems.",,,,,,,,,,,,,,,,,,,
ENG EC 400,Undergraduate Special Topics in Electrical & Computer Engineering,,Coverage of a specific topic in electrical and computer engineering at the undergraduate level. Subject matter varies from semester to semester; not offered every semester.,,,,,,,,,,,,,,,,,,,
ENG EC 401,Signals and Systems,(CASMA226 & ENGEK307),"Cannot be taken for credit in addition to ENG BE 401. Continuous-time and discrete-time signals and systems. Convolution sum, convolution integral. Linearity, time-invariance, causality, and stability of systems. Frequency domain analysis of signals and systems. Filtering, sampling, and modulation. Laplace transform, z-transform, pole-zero plots. Linear feedback systems. Includes lab. Cannot be taken for credit in addition to ENG BE 403.",,,,,,,,,,,,,,,,,,,
ENG EC 402,Control Systems,(CASMA226 & ENGEK307 & ENGEC401),"Analysis of linear feedback systems, their characteristics, performance, and stability. The Routh-Hurwitz, root-locus, Bode, and Nyquist techniques. Design and compensation of feedback control systems. Cannot be taken for credit in addition to ENG ME 403, ENG ME 404, or ENG BE 404.",,,,,,,,,,,,,,,,,,,
ENG EC 410,Introduction to Electronics,(ENGEK307),"Principles of diode, BJT, and MOSFET circuits. Graphical and analytical means of analysis. Piecewise linear modeling; amplifiers; digital inverters and logic gates. Biasing and small-signal analysis, microelectronic design techniques. Time-domain and frequency domain analysis and design. Includes lab.",,,,,,,,,,,,,,,,,,,
ENG EC 412,Analog Electronics,(ENGEC410),"Continuation of ENG EC 410. Topics include detailed analysis of differential amplifiers, design and principles of operational amplifier including multistage circuit structure, BJT, MOSFET, CMOS, and BiCMOS design principles, active filters and oscillators, negative and positive feedback, and power devices. Includes lab.",,,,,,,,,,,,,,,,,,,
ENG EC 413,Computer Organization,(ENGEC311),"Introduction to the fundamentals and design of computer systems. Topics covered include computer instruction sets, assembly language programming, arithmetic circuits, CPU design (data path and control, pipelining), performance evaluation, memory devices, memory systems including caching and virtual memory, and I/O. Project using design automation tools. Includes lab.",,,,,,,,,,,,,,,,,,,
ENG EC 414,Introduction to Machine Learning,(ENGEK103 & ENGEK125 & ENGEK381),"Linear regression. Maximum likelihood and maximum a posteriori estimation. Classification techniques, including naive Bayes, k-nearest neighbors, logistic regression, and support vector machines. Data visualization and feature extraction, including principal components analysis and linear projections. Clustering. Introduction to neural networks and deep learning. Discussion of other modern analysis methods.",,,,,,,,,,,,,,,,,,,
ENG EC 415,Software Radios,(ENGEC401) equivalent,"Signal analysis and transmission: amplitude modulation, angle modulation, pulse- amplitude and pulse-code modulation; amplitude shift-keying, frequency shift- keying, phase-shift keying. Case studies of practical communication systems. Includes lab.",,,,,,,,,,,,,,,,,,,
ENG EC 417,Electric Energy Systems: Adapting to Renewable Resources,(ENGEK307),"This course will present a detailed perspective of electric power systems from generation, transmission, storage, to distribution to end users. Significant emphasis will be placed on methodologies for reliable and efficient transmission and distribution of power over the grid including challenges for adapting to renewable resources such as photovoltaics and wind. Conventional approaches will be presented with emphasis to future technology such as the ""smart grid"". Analysis of 3-phase power will be presented using numerous examples. Items such as power system stability, security, reliability will be covered. Optimization methods, models, simulation techniques, monitoring and control, grid storage technologies, and micro-grids will also be discussed. Power electronics will be introduced specifically in reference to high voltage circuits. Finally, planning for large numbers of electric vehicles will present new challenges to the effective distribution of power which will be discussed from both centralized and decentralized approaches.",,,,,,,,,,,,,,,,,,,
ENG EC 418,Introduction to Reinforcement Learning,"Students must either take all three of MA225, EK103, and EK 381 (Multi","variable Calculus, Linear Algebra, Probability, or their equivalents) or all three of DS 120, 121, 122 (Foundations of Data Scien - Reinforcement learning is a subfield of artificial intelligence which deals with learning from repeated interactions with an environment. Reinforcement learning is the basis for algorithms for playing strategy games such as Chess, Go, Backgammon, and Starcraft, as well as a number of algorithms throughout robotics, operations research, and other fields of engineering. This course will cover the fundamental algorithms of reinforcement learning, focusing on the core principles underlying these methods. Topics covered will include Dynamic Programming, Markov Decision Processes, Value Iteration, Policy Iteration, Temporal Difference Methods and Monte Carlo, Function Approximation in Reinforcement Learning and Neural Networks",,,,,,,,,,,,,,,,,,,
ENG EC 440,Introduction to Operating Systems,(ENGEC327),"Operating system concepts and design objectives. Concurrent processes, process synchronization, and deadlocks. Resource management including virtual memory, CPU scheduling, and secondary storage. File structures, input/output, and distributed systems. Case studies of popular operating systems.",,,,,,,,,,,,,,,,,,,
ENG EC 441,Introduction to Computer Networking,(ENGEK381) ENGEC327 and ENGEC401 recommended,"Computer networks, focusing on the Internet. Application protocols (Web, E- mail), basics of socket programming, major Internet protocols (TCP and IP), fundamental aspects of routing and reliable data transfer over networks, medium access protocols, wired and wireless Local Area Networks (LANs) technologies. Hands-on laboratory modules on client-server programming, Internet experiments, and protocol implementation. Includes lab.",,,,,,,,,,,,,,,,,,,
ENG EC 444,Smart and Connected Systems,(ENGEC311 & ENGEC327),"Hands-on introductory course to cyber-physical and IoT systems. Microcontrollers: integrated development environments (ISEs), architecture, and I/O interfaces. Hardware interfacing of systems: formal design and specifications, real-time OS, programming, and control. IoT systems: smart phones, wireless personal area networks (WPANs), IP gateways, mobile cloud computing, reliability, security, and privacy. Course culminates with a team project.",,,,,,,,,,,,,,,,,,,
ENG EC 447,Software Design,ENGEC 327,Object-oriented software design for desktop applications with a graphical user interface. C# and Microsoft .NET programming assignments. Provides a solid foundation in modern programming for engineering and other applications.,,,,,,,,,,,,,,,,,,,
ENG EC 451,Directed Study,,"Units: Var Student may, under the supervision of a faculty member, undertake individual study of a subject relevant to electrical, computer, and systems engineering, if the subject is not covered in a regularly scheduled course. Tangible evidence of achievement must be submitted at the end of the semester.",,,,,,,,,,,,,,,,,,,
ENG EC 455,Electromagnetic Systems 1,(CASPY212 & CASMA226),"Time varying electric and magnetic fields. Maxwell equations. Electromagnetic waves. Propagation, reflection, and transmission. Remote sensing applications. Radio frequency coaxial cables, microwave waveguides, and optical fibers. Microwave sources and resonators. Antennas and radiation. Radio links, radar, and wireless communication systems. Electromagnetic effects in high-speed digital systems.",,,,,,,,,,,,,,,,,,,
ENG EC 456,Electromagnetic Systems 2,(ENGEC455),"Electric field, energy, and force. Lorenz force. Dielectric materials. Steady electric currents. Magnetic field, energy, and force. Magnetic materials. Applications of electrostatics, magnetostatics, and electrodynamics. Electromagnetic waves in dielectric and conducting materials. Solution techniques for electromagnetic fields and waves.",,,,,,,,,,,,,,,,,,,
ENG EC 463,Senior Design Project 1,(ENGEK210) senior standing; CAS WR 150/1/2/3 required.,"Development of the technical, communication, personal, and team skills needed for successful design in electrical and computer engineering. Specifications and standards, information collection, design strategies, modeling, computer- aided design, optimization, system design, failure and reliability, human factors. Oral and written communication of technical information. Team dynamics and ethical issues in design. Design project for a small-scale electrical or computer system. Preparation of detailed proposals for senior design projects in the following semester. Includes lab.",,,,,,,,,,,,,X,,X,,X,,
ENG EC 464,Senior Design Project 2,"(ENGEC463) First Year Writing Seminar (e.g., WR 100 or WR 120)","Continuation of a team project in an area of electrical and computer engineering, as proposed in EC 463. Application of technical, communication, personal, and team skills. Oral and written communication of technical information, including progress reports, technical memos, final report, and oral presentations. Includes lab.",,,,,,,,,,,,,X,X,,,,,
ENG EC 467,Senior Thesis,"(ENGEC 463) First Year Writing Seminar (e.g., WR 100 or WR 120) and senior standing and departmental approval.",Well-prepared students may choose to do a formal senior thesis under the direct guidance of a departmental faculty member. Students selecting this option must obtain petitioned approval before the beginning of the semester of thesis registration.,,,,,,,,,,,,,X,X,,,,,
ENG EC 471,Physics of Semiconductor Devices,(CASPY313 OR CASPY354),"This course addresses the theory of semiconductors and semiconductor electronic devices. The section on the theory of semiconductor includes their crystal structure, energy bands, and carrier concentration in thermal equilibrium as well as carrier transport phenomena (drift, diffusion, generation and recombination, tunneling, high field effects, and thermionic emission). The section on electronic devices addresses the theory of p-n junctions and heterojunctions, of Bipolar Junction Transistors (BJT), Thyristors, Metal Oxide Semiconductor (MOS) Capacitors and MOS Field Effect Transistors (MOSFETs).",,,,,,,,,,,,,,,,,,,
ENG EC 500,Special Topics in Electrical and Computer Engineering,senior standing or consent of instructor.,"Specific prerequisites vary according to topic. Coverage of a specific topic in electrical, computer, or systems engineering. Subject varies from year to year and is generally from an area of current or emerging research.",,,,,,,,,,,,,,,,,,,
ENG EC 501,Dynamic System Theory,"Familiarity with differential equations and matrices at the level of E NG ME 404 or CAS MA 242, or consent of instructor.","Introduction to analytical concepts and examples of dynamic systems and control. Mathematical description and state space formation of dynamic systems; modeling, controllability, and observability. Eigenvector and transform analysis of linear systems including canonical forms. Performance specifications. State feedback: pole placement and the linear quadratic regulator. Introduction to MIMO design and system identification using computer tools and laboratory experiments. Same as ENG ME 501 and ENG SE 501. Students may not receive credit for both.",,,,,,,,,,,,,,,,,,,
ENG EC 503,Introduction to Learning from Data,,"Prerequisites: EK381 or equivalent; EK102 or equivalent; MA225 or equivalent; EK125 or equivalent. This is an introductory graduate course in (classical) machine learning covering the basic principles and methods of four major non-sequential supervised and unsupervised learning problems namely, classification, regression, clustering, and dimensionality reduction. A variety of contemporary applications will be explored through homeworks and a project.",,,,,,,,,,,,,,,,,,,
ENG EC 504,Advanced Data Structures,(ENGEC330),"Review of basic data structures and Java syntax. Data abstraction and object-oriented design in the context of high-level languages and databases. Design implementation from the perspective of data structure efficiency and distributed control. Tailoring priority queues, balanced search trees, and graph algorithms to real-world problems, such as network routing, database management, and transaction processing.",,,,,,,,,,,,,,,,,,,
ENG EC 505,Stochastic Processes,(ENGEC401 & CASMA142) or equivalent and either ENGEK381 or ENGEK500.,"Introduction to discrete and continuous-time random processes. Correlation and power spectral density functions. Linear systems driven by random processes. Optimum detection and estimation. Bayesian, Weiner, and Kalman filtering.",,,,,,,,,,,,,,,,,,,
ENG EC 508,Wireless Communication,(ENGEK103 & ENGEK381 & ENGEC401),"Fundamentals of wireless communication from a physical layer perspective. Multipath signal propagation and fading channel models. Design of constellations to exploit time, frequency, and spatial diversity. Reliable communication and single-user capacity. Interference management, multiple-access protocols, and multi-user capacity. Cellular uplink and downlink. Multiple-antenna systems and architectures. Connections to modern wireless systems and standards.",,,,,,,,,,,,,,,,,,,
ENG EC 512,Enterprise Client-Server Software Systems Design,Senior standing or consent of instructor. EC447 is recommended.,"Examination of past, current, and emerging technologies. Client side technologies including DHTML, CSS, scripting, and proprietary applications. Legacy server side technologies including CGI, HTTP protocol, and active server pages. Current server technologies including ASP.NET, XM, web services, SQL databases, streaming media, and middleware. Design and implementation of solutions involving database connectivity, session state, security requirements, SSL, and authentication of clients. Assignments involving design through implementation. Students must be fully competent in an object oriented programming language (C++, C#, or Java preferred). Familiarity with web technologies such as HTML, scripting, XML, etc. is helpful. Programming experience with a graphical user environment is also very desirable.",,,,,,,,,,,,,,,,,,,
ENG EC 513,Computer Architecture,(ENGEC413),"Graduate Prerequisites: (ENGEC605) Or instructor consent - Computer architecture and design. Topics include computer arithmetic and ALU design; performance evaluation; instruction set design; CPU design, including pipelining, branch prediction, and speculative execution; memory hierarchy, including cache basics, cache design for performance, and virtual memory support; I/O, including devices, interfaces, specification, and modeling. Examples from high-end microprocessors and embedded systems.",,,,,,,,,,,,,,,,,,,
ENG EC 516,Digital Signal Processing,(ENGEC401 & ENGEK381),"Advanced structures and techniques for digital signal processing and their properties in relation to application requirements such as real-time, low-bandwidth, and low-power operation. Optimal FIR filter design; time-dependent Fourier transform and filterbanks; Hilbert transform relations; cepstral analysis and deconvolution; parametric signal modeling; multidimensional signal processing; multirate signal processing.",,,,,,,,,,,,,,,,,,,
ENG EC 517,Introduction to Information Theory,(ENGEK381),"Discrete memoryless stationary sources and channels; Information measures on discrete and continuous alphabets and their properties: entropy, conditional entropy, relative entropy, mutual information, differential entropy; Elementary constrained convex optimization; Fundamental information inequalities: data-processing, and Fano's; Block source coding with outage: weak law of large numbers, entropically typical sequences and typical sets, asymptotic equipartition property; Block channel coding with and without cost constraints: jointly typical sequences, channel capacity, random coding, Shannon's channel coding theorem, introduction to practical linear block codes; Rate-distortion theory: Shannon's block source coding theorem relative to a fidelity criterion; Source and channel coding for Gaussian sources and channels and parallel Gaussian sources and channels (water-filling and reverse water-filling); Shannon's source-channel separation theorem for point-to-point communication; Lossless data compression: Kraft's inequality, Shannon's lossless source coding theorem, variable-length source codes including Huffman, Shannon-Fano-Elias, and Arithmetic codes; Applications; Mini course-project.",,,,,,,,,,,,,,,,,,,
ENG EC 518,Robot Learning,"Multivariate Calculus (MA 225), Linear Algebra (EK 103), Probability (EK 381), and Programming (EK 128, Python experience is highly recommended), Machine Learning (EC 414).","This class will discuss recent developments in machine learning and perception for robotics. Specifically, we will study advanced concepts in perception and decision-making algorithms in order to provide theoretical and experimental frameworks for robot learning. Topics will include 3D vision, sensorimotor paradigms for perception and action, robot reinforcement learning, imitation learning, inverse reinforcement learning, exploration, options, model-based approaches, POMDP and human-machine and social interaction.",,,,,,,,,,,,,,,,,,,
ENG EC 519,Speech Processing by Humans and Machines,(ENGEK381) ENGBE401 or ENGEC401 and MATLAB,"Speech (naturally spoken) is the main mode of communication between humans. Speech technology aims at providing the means for speech-controlled man-machine interaction. The goal of this course is to provide the basic concepts and theories of speech production, speech perception, and speech signal processing. The course is organized in a manner that builds a strong foundation of basics, followed by a range of signal processing methods for representing and processing the speech signal. Same as ENG BE 519. Students may not receive credit for both.",,,,,,,,,,,,,,,,,,,
ENG EC 520,Digital Image Processing and Communication,"ENGEC401, ENGEK 125 and 381","Review of signals and systems in multiple dimensions. Sampling of still images. Quantization of image intensities. Human visual system. Image color spaces. Image models and transformations. Image enhancement and restoration. Image analysis. Image compression fundamentals. Image compression standards (JPEG, JPEG-2000). Homework will include MATLAB assignments.",,,,,,,,,,,,,,,,,,,
ENG EC 521,Cybersecurity,(ENGEC 327); Undergraduate Corequisites: (ENGE C441).,"Fundamentals of security related to computers and computer networks. Laws and ethics. Social engineering and psychology-based attacks. Information gathering, network mapping, service enumeration, and vulnerability scanning. Operating system security related to access control, exploits, and disk forensics. Shellcoding. Wired and wireless network security at the physical, network, and application layers. Theoretical lessons are augmented with case studies and demonstrative experimental labs.",,,,,,,,,,,,,,,,,,,
ENG EC 522,Computational Optical Imaging,(ENGEK103 & ENGEK125 & ENGEC401),"Recent years have seen the growth of computational optical imaging - optical imaging systems that tightly integrate hardware and computation. The results are the emergence of many new imaging capabilities, such as 3D, super resolution, and extended depth of field. Computational optical imaging systems have a wide range of applications in consumer photography, scientific and biomedical imaging, microscopy, defense, security and remote sensing. This course looks at this new design approach as it is applied to modern optical imaging, with a focus on the tools and techniques at the convergence of physical optical modeling, and signal processing.",,,,,,,,,,,,,,,,,,,
ENG EC 523,Deep Learning,,"Feed-forward networks. Backpropagation. Training strategies for deep networks. Convolutional networks. Recurrent neural networks. Transformers. Diffusion Models. Deep unsupervised learning. Exposure to Pytorch and other modern programming tools. Other recent topics, time permitting. Same as CAS CS 523. Students may not receive credit for both.",,,,,,,,,,,,,,,,,,,
ENG EC 524,Optimization Theory and Methods,(ENGEK103 OR CASMA142),"Introduction to optimization problems and algorithms emphasizing problem formulation, basic methodologies, and underlying mathematical structures. Classical optimization theory as well as recent advances in the field. Topics include modeling issues and formulations, simplex method, duality theory, sensitivity analysis, large-scale optimization, integer programming, interior-point methods, non-linear programming optimality conditions, gradient methods, and conjugate direction methods. Applications are considered; case studies included. Extensive paradigms from production planning and scheduling in manufacturing systems. Other illustrative applications include fleet management, air traffic flow management, optimal routing in communication networks, and optimal portfolio selection. Same as ENG EC 674, ENG SE 524, ENG SE 674. Students may not receive credit for both.",,,,,,,,,,,,,,,,,,,
ENG EC 525,Optimization for Machine Learning,(ENGEC414 & ENGEK381 & ENGEK103),"Efficient algorithms to train large models on large datasets have been critical to the recent successes in machine learning and deep learning. This course will introduce students to both the theoretical principles behind such algorithms as well as practical implementation considerations. topics include convergence properties of first-order optimization technologies such as stochastic gradient descent, with particular focus on optimization problems with non-convex losses typically present in modern deep learning problems. After completing this course, students should be able to read, and understand optimization algorithms from literature as well as design and implement new optimization algorithms.",,,,,,,,,,,,,,,,,,,
ENG EC 526,Parallel Programming for High Performance Computing,,"The explosive advance in High Performance Computing (HPC) and advances in Big Data/Machine Learning and Cloud Computing now provides a fundamental tool in all scientific, engineering, and industrial advances. Software is massively parallel so parallel algorithms and distributed data structures are required. Examples will be drawn from FFTs, Dense and Sparse Linear Algebra, Structured and unstructured grids. Techniques will be drawn from real applications to simple physical systems using Multigrid Solvers, Molecular Dynamics, Monte Carlo Sampling and Finite Elements with a final student project and team presentation to explore one example in more detail. Coding exercises will be in C++ in the UNIX environment with parallelization using MPI message passing, OpenMP threads and QUDA for GPUs. Rapid prototypes and graphics may use scripting in Python or Mathematica.",,,,,,,,,,,,,,,,,,,
ENG EC 527,High Performance Programming with Multicore and GPUs,,"Considers theory and practice of hardware-aware programming. Key theme is obtaining a significant fraction of potential performance through knowledge of the underlying computing platform and how the platform interacts with programs. Studies architecture of, and programming methods for, contemporary high-performance processors. These include complex processor cores, multicore processors, and graphics processors. Laboratory component includes use and evaluation of programming methods on these processors through applications such as matrix operations and the Fast Fourier Transform.",,,,,,,,,,,,,,,,,,,
ENG EC 528,Cloud Computing,"(ENGEC327 & ENGEC330) Undergrads must have taken EC327 or equivalent and preferably another software course, EC330 or EC440, before taking this course.","Graduate Prerequisites: (ENGEC504) Graduate students must have taken a rigorous programming class recentl y, such as EC504 or equivalent (or have major software design experien ce in industry). - Fundamentals of cloud computing covering IaaS platforms, OpenStack, key Big Data platforms, and data center scale systems. Examines influential publications in cloud computing. Culminates in a group project supervised by a mentor from industry or academia. Same as CAS CS 528. Students may not receive credits for both.",,,,,,,,,,,,,,,,,,,
ENG EC 530,Software Engineering Principles,(ENGEC602) ENG EC 602 or equivalent,"This class was designed to bring the basic concepts of software engineering together and practice them in real life examples. We will focus on studying different concepts that the students have taken in different classes or were not exposed to that are necessary for their careers. Examples include continuous build and integration, Modular Design, API Design, Rest APIs, Application frameworks, Containers, and Multi-. The class follows a flipped classroom model. Outside of the classroom, the students: study concepts, read assigned papers and tutorials; work on homeworks, which is equivalent to what other classes consider projects.",,,,,,,,,,,,,,,,,,,
ENG EC 531,Full-Stack Software at Scale,,"Prerequisites: ENGEC 327 or ENGEC 602: - Scaling software to many developers, modules, or machines requires a fundamentally different skill-set than writing short prototype code. Large groups of software engineers developing web or mobile applications, financial or healthcare systems, and even multiplayer games must synthesize a wide variety of elements at all layers of the software stack. This course addresses fundamental skills and experience needed for such software development within a modern multi-developer software development infrastructure. Through a variety of intensive programming projects in various languages and group sizes, students will learn about four core elements of software development at scale: design (writing future-oriented code for modularity, extensibility, interoperability), distribution (managing code across multiple processors), optimization (understanding the long-term effects of design and distribution on performance), and security (how all the previous elements influence the security and privacy of the overall system).",,,,,,,,,,,,,,,,,,,
ENG EC 533,Advanced Discrete Mathematics,"ENGEK103, CAS MA 142 or equivalent","Selected topics in discrete mathematics. Formal systems. Mathematical deduction. Logical concepts. Theorem proving. Sets, relations on sets, operations on sets. Functions, graphs, mathematical structures, morphisms, algebraic structures, semigroups, quotient groups, finite-state machines, their homomorphism, and simulation. Machines as recognizers, regular sets. Kleene theorem.",,,,,,,,,,,,,,,,,,,
ENG EC 534,Discrete Stochastic Models,(ENGEK381 OR ENGEK500),"Markov chains, Chapman-Kolmogorov equation. Classification of states, limiting probabilities, Poisson process and its generalization, continuous-time Markov chains, queuing theory, reliability theory.",,,,,,,,,,,,,,,,,,,
ENG EC 535,Introduction to Embedded Systems,,"Prerequisites: Experience in C/C++ programming and Linux, ENGEC 327 or EC 605 or equivalent. ENGEC 413, Computer Organization or equivalent. *Prior C or C++ programming knowledge is a hard requirement. Please discuss with the instructor if you have any questions. The growing popularity of modern embedded systems calls for a new generation of electrical and computer engineers who can easily cross the boundary between hardware and software. The course is designed to train such engineers by introducing students to an integrated view of software and hardware in designing embedded computer systems. The lectures will survey a broad array of subjects including system specification languages, embedded processors, memory architecture, communication architecture, real-time operating systems, scheduling, energy efficiency in hardware and software, hardware-software co-design techniques, debugging and verification techniques, and embedded systems security. The concepts will be reinforced with homework and project assignments that involve system design, modeling, and validation. The assignments will involve C/Linux programming, ARM/Linux-based evaluation boards, and optionally other microprocessor or FPGA-based boards.",,,,,,,,,,,,,,,,,,,
ENG EC 541,Computer Communication Networks,(ENGEC441 & ENGEK381),"This is a graduate-level course on performance analysis of communication networks. The objective of the course is to introduce popular mathematical models of computer communications and analytical techniques to quantify critical performance issues. The emphasis is on recent developments that apply to modern communication networks. The course also features programming assignments in Python, involving the use of popular data science libraries.",,,,,,,,,,,,,,,,,,,
ENG EC 543,"Sustainable Power Systems: Planning, Operation and Markets",Senior standing or consent of instructor.,"Breakthroughs in clean energy generation technologies and the advantage of exploiting efficiently the available work in fossil fuels will render electricity the dominant energy form in a sustainable environment future. We review the key characteristics of Electric Power Transmission and Distribution (T&D) networks and the associated planning and operation requirements that ensure supply adequacy, system security and stability. Capital asset investment and operation cost minimization is discussed in a systems engineering context where the assets as well as the dynamic behavior of generators, T&D networks, and loads interact. Recent developments in the formation of competitive wholesale markets at the High Voltage Transmission system level, the associated market participation and clearing rules and the market clearing optimization algorithms are presented and analyzed in terms of their effectiveness in fostering cost reflective price signals and competitive conditions that encourage optimal distributed/not-centralized investment and operating decisions. Finally, we present T&D congestion and supply-demand imbalance related barriers to the widespread adoption of environmentally friendly and economically efficient technological breakthroughs, and propose a systems engineering and real-time retail-market based coordination of centralized as well as decentralized generation, storage and load management resources that is able to achieve desirable synergies and mitigate these barriers. Same as ENG ME 543 and ENG SE 543. Students may not receive credits for both.",,,,,,,,,,,,,,,,,,,
ENG EC 544,Networking the Physical World,,"Prerequisites: ENGEC327 and 441, C/C++ and Java Embedded Systems or Microprocessors Working knowledge of Linux. - Computer Engineering is not just about designing hardware. It is also about providing the complete solution of software, firmware, connectivity, and communication while at the same time addressing the encryption, security, authentication, and provisioning of devices in a connected and distributed world. This course aims to address the software, communication and connectivity components of a modern Connected Device in a Digital era where millions of IoT devices interact with people and machines in a distributed and decentralized fashion. The course will cover firmware and software design, encryption algorithms and authentication frameworks, messaging and communication protocols, connectivity technologies, Cloud-versus-Edge computing, and finally does a deep dive into distributed and decentralized computing. This is a fast-paced course with frequent lab assignments and students are also expected to complete a project in one of the course topics.",,,,,,,,,,,,,,,,,,,
ENG EC 545,Cyber-Physical Systems,(ENGEC311 & ENGEC327 & ENGEC330) Or equivalent knowledge of Boolean algebra and finite state machines. Experience with programming embedded systems (eg EC535) is recommended but not required.,"This course introduces students to the principles underlying the design and analysis of cyber-physical systems - computational systems that interact with the physical world. We will study a wide range of applications of such systems ranging from robotics, through medical devices, to smart manufacturing plants. A strong emphasis will be put on building high-assurance systems with real-time and concurrent behaviors. The student will gain both in-depth knowledge and hands-on experience on the specification, modeling, design, and analysis of representative cyber-physical systems. Meets with ENG SE 545. Students may not receive credits for both.",,,,,,,,,,,,,,,,,,,
ENG EC 551,Advanced Digital Design with Verilog and FPGA,(ENGEC311 & ENGEC413 & ENGEC327),"Content includes use of HDL (Verilog) for design, synthesis and simulation, and principles of register transfer level (RTL). Programmable logic, such as field programmable gate array (FPGA) devices, has become a major component of digital design. In this class the students learn how to write HDL models that can be automatically synthesized into integrated circuits such as FPGA. Laboratory and homework exercises include writing HDL models of combinational and sequential circuits, synthesizing models, performing simulation, and fitting to an FPGA by using automatic place and route. The course has lab orientation and is based on a sequence of Verilog design examples.",,,,,,,,,,,,,,,,,,,
ENG EC 552,Computational Synthetic Biology for Engineers,,"Prerequisites: ENGEK125 and 327; This is a course intended for senior undergraduates and graduate students in electrical, computer, or biomedical engineering. A background in biology is not required. However, the students do require solid programming and problem-solving abilities in an object-oriented language (C++ or Java is preferred). Additional background in Perl/Python, HTML/Javascript/CSS, and databases (MySQL, MongoDB) is desirable but not required. The students must be interested in computation and have the willingness to learn how to program in the necessary programming environments. This course presents the field of computational synthetic biology through the lens of four distinct activities: Specification, Design, Assembly, and Test. Engineering students of all backgrounds are introduced to synthetic biology and then exposed to core challenges and approaches in each of these four areas. Homework assignments are provided which allow the students to use existing computational software to explore each of these themes. In addition, advanced concepts are presented around data management, design algorithms, standardization, and simulation challenges in the field. The course culminates in a group project in which the students apply computational design methods to an experimentally created system (working with graduate students in the Biological Design Center and the DAMP Lab)",,,,,,,,,,,,,,,,,,,
ENG EC 555,Introduction to Biomedical Optics,(ENGBE403 OR ENGEC401) Requires senior status.,"This course surveys the applications of optical science and engineering to a variety of biomedical problems, with emphasis on optical and photonics technologies that enable real, minimally-invasive clinical and laboratory applications. The course teaches only those aspects of the biology itself that are necessary to understand the purpose of the applications. The first weeks introduce the optical properties of tissue, and following lectures cover a range of topics in three general areas: 1) Optical spectroscopy applied to diagnosis of cancer and other tissue pathologies; 2) Photon migration and diffuse optical imaging of subsurface structures in tissue; and 3) new tissue imaging methods, laser-tissue interactions and other applications of light for biomedical research. The format of this course is ""semi-flipped."" There are assigned readings from the required textbook, prior to each class. Half of class time will invoke informal lecture and discussion, to amplify and clarify the readings; and half of the class time will be in the style of a ""flipped"" class, devoted to working, in small groups, on problems and discussing and understanding the connection to the readings. Dual listed as ENG EC 555. Students may not receive credit for both.",,,,,,,,,,,,,,,,,,,
ENG EC 556,Optical Spectroscopic Imaging,"(CASPY 212) EK 125 or equivalent Matlab; PY 212 or equivalent knowledge of light and waves. Suggested: EC 562, EC 555.","This introductory graduate-level course aims to teach students how electromagnetic waves and various forms of molecular spectroscopy can be used to study a complex biological system by pushing the physical limits on engineering system design.The course will cover fundamental concepts of optical spectroscopy and microscopy, followed by specific topics covering fluorescence-based, absorption-based, and scattering-based spectroscopic imaging. In addition, this course will provide in-depth discussions of linear and nonlinear spectroscopic imaging in the aspects of theory, instrumentation, image data analysis and enabling applications. Students will learn how to give a concise and informative presentation of a recent literature to the class. Students will be able to challenge their creativity in designing advanced imaging instrument of data analysis methods as part of their course assignments. The students will learn how to write and present a convincing proposal for the required final project to be designed by interdisciplinary teams formed among the students. Same as ENGBE 556. Students may not receive credit for both.",,,,,,,,,,,,,,,,,,,
ENG EC 560,Introduction to Photonics,(CASPY313),"Introduction to ray optics; matrix optics; wave optics; Fourier optics; electromagnetic optics including absorption and dispersion. Polarization, reflection and refraction, anisotropic media, liquid crystals, and polarization devices. Guided-wave and fiber optics. Nanophotonics.",,,,,,,,,,,,,,,,,,,
